UNO Synth Pro MIDI Monitor v1.1 State Read
UNO IN: 0: UNO Synth Pro
UNO OUT: 1: UNO Synth Pro
EDITOR OUT/TAP IN: 1: UNO_TAP
EDITOR IN/RETURN OUT: 3: UNO_RETURN
Clock captured: False
Active Sense captured: False
REC	TIME	DIRECTION	TYPE	BYTES	HEX	DECODED
1	4.835639	UNO→EDITOR	SysEx	309	F0 00 21 1A 02 03 00 37 00 00 00 08 00 08 01 00 04 00 60 38 00 00 00 01 00 00 00 70 15 00 00 5A 00 3C 0D 00 52 16 00 1F 05 70 55 05 00 00 00 00 02 0C 08 70 3F 4F 30 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2E 7E 03 40 01 00 00 64 02 00 00 00 00 00 00 64 02 00 00 00 00 00 00 19 00 00 58 20 66 00 74 0B 70 2E 40 7B 03 10 00 0B 64 0C 40 3E 01 6E 05 38 3F 00 02 30 41 0C 0F 1F 00 01 58 20 46 42 0F 40 3C 00 00 70 00 00 32 1E 3E 00 0A 70 60 00 00 64 00 60 73 71 03 10 00 06 00 10 63 71 03 50 00 07 06 00 20 06 00 1E 0F 1F 00 05 38 30 00 00 32 00 70 79 78 01 48 0C 00 03 48 75 20 36 00 7A 00 17 48 01 60 03 00 0F 32 01 64 00 00 00 20 02 00 01 6E 5D 7B 03 40 02 00 00 02 00 00 00 00 40 00 0F 00 30 11 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 08 00 F7	UNO state 309B
2	4.898330	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 00 54 48 45 20 4F 4E 45 00 20 20 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
3	4.918209	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 01 50 55 4E 43 48 20 42 41 53 53 20 33 00 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
4	4.938310	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 02 42 41 53 53 00 20 20 20 20 20 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
5	4.958232	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 03 44 50 20 4C 45 41 44 00 20 20 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
6	4.978283	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 04 44 4F 43 54 4F 52 20 4C 45 41 44 00 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
7	4.998195	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 05 49 4E 46 4F 50 41 44 00 20 20 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
8	5.018186	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 06 4D 41 52 4B 20 50 41 44 00 20 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
9	5.038150	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 07 50 4F 4C 59 20 50 4C 55 43 4B 20 4D 57 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
10	5.058246	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 08 52 41 56 45 20 53 54 41 42 00 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
11	5.078221	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 09 4F 4E 20 54 48 45 20 53 45 51 00 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
12	5.098197	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 0A 33 52 44 20 4F 46 20 4D 41 52 43 48 00 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
13	5.128207	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 0B 53 55 42 4D 45 52 47 45 20 42 41 53 53 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
14	5.148259	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 0C 44 41 4E 43 45 00 20 20 20 20 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
15	5.168230	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 0D 57 45 45 4B 45 4E 44 20 4C 45 41 44 00 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
16	5.188153	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 0E 47 4F 4F 44 47 55 59 20 4C 45 41 44 00 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
17	5.208144	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 0F 53 54 52 49 4E 47 4D 41 43 48 49 4E 45 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
18	5.238216	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 10 4F 52 47 41 4E 20 44 4F 4E 4F 52 00 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
19	5.268163	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 11 53 54 52 49 4E 47 20 48 49 54 00 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
20	5.278242	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 12 52 48 59 54 4D 49 4B 20 50 4C 55 43 4B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
21	5.288126	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 13 4B 2D 42 41 53 53 00 20 20 20 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
22	5.308130	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 14 4D 4F 4E 53 54 45 52 20 42 41 53 53 00 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
23	5.328225	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 15 54 52 41 56 49 53 20 42 41 53 53 00 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
24	5.348173	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 16 44 55 41 20 42 41 53 53 00 20 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
25	5.368642	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 17 44 41 56 45 59 4C 45 41 44 00 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
26	5.393171	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 18 45 4D 45 52 20 53 49 4E 45 00 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
27	5.420827	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 19 43 49 4E 45 20 48 4F 50 45 53 00 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
28	5.445535	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 1A 53 51 55 41 52 59 00 20 20 20 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
29	5.471436	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 1B 43 48 49 4C 4C 20 4B 45 59 53 00 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
30	5.502320	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 1C 43 48 49 4C 4C 20 50 4C 55 43 4B 00 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
31	5.529585	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 1D 45 4C 45 53 4E 41 52 45 00 20 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
32	5.562871	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 1E 4C 49 4B 45 20 41 4E 20 41 4E 49 4D 41 4C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
