CC,GUI_KEY,OFFSETS,MASKS,UNIQUE_STATES
5,GLIDE,"20,21,22","0x60,0x4F,0x7F",128
9,SWING,"208,209","0x7E,0x01",31
12,OSC1_WAVE,"26,27,28","0x08,0x40,0x1F",128
13,OSC2_WAVE,"32,33,34","0x02,0x70,0x07",128
14,OSC3_WAVE,"37,39,40","0x40,0x7C,0x01",128
15,OSC1_TUNE,"28,29,30","0x60,0x7F,0x7F",128
16,OSC2_TUNE,"34,35,36","0x78,0x7F,0x1F",128
17,OSC3_TUNE,"40,41,42","0x7E,0x7F,0x07",128
18,OSC1_LEVEL,31,0x7F,101
19,OSC2_LEVEL,"36,37","0x60,0x1F",101
20,OSC3_LEVEL,"42,43","0x78,0x07",101
21,NOISE_LEVEL,"43,44","0x70,0x0F",101
22,SYNC2,"44,45","0x20,0x08",2
23,SYNC3,"44,45","0x40,0x10",2
24,RING,45,0x20,2
25,FM12,"45,46","0x40,0x3F",101
26,FM13,47,0x7F,101
28,F1_CUTOFF,"48,49,50","0x02,0x7C,0x07",128
29,F1_RES,"52,53","0x60,0x1F",128
30,F1_MODE,55,0x07,6
31,F1_ENV,"57,58","0x7C,0x07",128
32,F1_TRACK,"59,60,61","0x70,0x7F,0x3F",128
35,F2_CUTOFF,"50,51,52","0x08,0x70,0x1F",128
36,F2_RES,"53,54","0x40,0x3F",128
37,F2_MODE,55,0x70,7
38,F2_ENV,"58,59","0x78,0x0F",128
39,F2_TRACK,"61,62,63,64","0x40,0x7F,0x7F,0x01",128
40,FILTER_SPACING,"64,65","0x7E,0x03",128
41,FILTER_LINK,65,0x0C,3
44,LFO1_WAVE,"76,77","0x60,0x01",8
45,LFO1_RATE,"77,78,79,80","0x40,0x1F,0x7F,0x01",128
46,LFO1_FADE,"81,82","0x7C,0x03",101
47,LFO1_SYNC,83,0x10,2
48,LFO2_WAVE,"84,85","0x60,0x01",8
49,LFO2_RATE,"85,86,87,88","0x40,0x1F,0x7F,0x01",128
50,LFO2_FADE,"89,90","0x7C,0x03",101
51,LFO2_SYNC,91,0x10,2
53,FENV_A,"66,67","0x70,0x0F",128
54,FENV_D,"67,68","0x60,0x1F",128
55,FENV_S,"68,69","0x60,0x1F",128
56,FENV_R,70,0x7F,128
57,FENV_LOOP,75,0x10,2
58,FENV_RETRIG,75,0x40,2
59,AENV_A,"71,72","0x7E,0x01",128
60,AENV_D,"72,73","0x7C,0x03",128
61,AENV_S,"73,74","0x7C,0x03",128
62,AENV_R,"74,75","0x70,0x0F",128
63,AENV_LOOP,75,0x20,2
66,MAMT0,"228,229","0x60,0x3F",128
67,MAMT1,"233,234","0x7C,0x07",128
68,MAMT2,"237,238","0x40,0x7F",128
69,MAMT3,"242,243","0x78,0x0F",128
70,MAMT4,"247,248","0x7F,0x01",128
71,MAMT5,"251,252","0x70,0x1F",128
72,MAMT6,"256,257","0x7E,0x03",128
73,MAMT7,"260,261","0x60,0x3F",128
74,MAMT8,"265,266","0x7C,0x07",128
75,MAMT9,"269,270","0x40,0x7F",128
76,MAMT10,"274,275","0x78,0x0F",128
77,MAMT11,"279,280","0x7F,0x01",128
78,MAMT12,"283,284","0x70,0x1F",128
79,MAMT13,"288,289","0x7E,0x03",128
80,MAMT14,"292,293","0x60,0x3F",128
81,MAMT15,"297,298","0x7C,0x07",128
90,DRIVE,95,0x7F,128
91,REV_AMOUNT,"136,137","0x7E,0x01",101
92,DELAY_AMOUNT,"188,189","0x60,0x1F",101
93,MOD_AMOUNT,"205,206","0x40,0x3F",101
95,MOD_TYPE,"189,190","0x40,0x01",3
96,MOD_INTENSITY,"203,204,205","0x70,0x7F,0x3F",128
97,MOD_RATE,"201,202,203","0x0C,0x78,0x0F",128
98,CHORUS_MODE,191,0x03,3
100,DELAY_TYPE,137,0x1C,5
101,DELAY_SYNC,177,0x04,2
102,DELAY_TIME,178,0x78,11
103,DELAY_TIME_R,"179,180","0x70,0x01",11
104,DELAY_FEEDBACK,"185,186","0x7C,0x03",81
105,DELAY_LPF,"186,187,188","0x78,0x73,0x1F",125
107,REVERB_TYPE,96,0x06,4
108,REV_PRE,"130,131","0x78,0x07",101
109,REV_TIME_SPECIAL,"132,133","0x60,0x1F",126
113,REV_SIZE,"131,132","0x70,0x0F",91
114,REV_FILTER,"133,134,135,136","0x40,0x1F,0x7F,0x01",125
